Tip,chinese_name,content,episode,movie_name,ranking,score,score_num,summary
26话/1998年10月23日/渡辺信一郎/矢立肇/川元利浩,星际牛仔,世有明珠一颗，久被尘劳关锁今日尘尽光生，照破山河万朵毕业时老师给的诗先镇个楼，刚看完心情太激动了不知道怎么下笔。作文在写了在写了，明天就交,26,カウボーイビバップ,1,9.1,6889,2021年，随着超光速航行技术的实现，人类得以在太阳系范围内方便的自由移动，但是由于设计上的失误，这种技术引发了月球的爆炸，无数的月球碎片被吸引向地球，造成了空前绝后的大灾难。存活下来的人类逃离地球，并开始在太阳系各地建立家园。由于这次灾难，国家、政府等权利机构都极为不稳定、治安问题也成为了一个难题。为了在人力资源不足的情况下抓捕罪犯，有些组织开始允许个人抓捕通缉的罪犯并换取奖金，“赏金猎人”这个职业也就由此诞生了。
26话/2004年1月1日/神山健治/士郎正宗,攻壳机动队 S.A.C. 2nd GIG,好看好看好看好看,26,攻殻機動隊 S.A.C. 2nd GIG,2,9.1,3892,这个世界距离我们并不遥远，你把它看作是现代社会的镜子亦为不可。
26话/2002年10月1日/神山健治/士郎正宗/下村一,攻壳机动队 STAND ALONE COMPLEX,看2045的时候发现剧情全忘了就回来补了。说起来使徒也已经被击退了呢，看老的科幻作品就是经常有这种情况啊233,26,攻殻機動隊 STAND ALONE COMPLEX,3,9.1,4809,公元2030的世界，改造人、生化人、机器人等等的存在已经非常普及。主人公草薙素子正是人类最高科技的结晶：只有大脑是人脑，其余身体部分皆为机械装置，外表看起来则是一名美貌兼干练的年轻女性。在这个高科技的世界里，人类通过更换身体的各个部件而达到长寿已不是新鲜事，更有许多人的大脑也已经电脑化，从而真正实现所谓的“电子化的存在”(并非“信息化的存在”)。从庞大的社会结构直至单独的个人身体，都可方便的通过网络连接，构成了一个无比复杂的信息网络：这就是本作的世界基础。虽然人类社会的电脑化带来很多方便，但是无论构造成为身体的材料怎样变化，人类毕竟还是拥有人性，因此各种以电脑为契机的犯罪层出不穷。日本的公安九课是一个高出统治阶层的存在，它的职能就是猎捕一切有关于高级电脑类刑事犯罪者。公安九课所面对的罪犯：有时可能是政府中的高官，有时可能是偷换他人大脑的投机分子，更有可能是身边的同伴；每一次的案件，都是对人类存在的再思考，都可能给队内的每一个队员带来沉重的精神压力。
24话/2008年10月2日/石原立也/Key/VisualArt's/池田和美,CLANNAD ～AFTER STORY～,说实话，挺早以前看的cl（相信被多数这个动画感动的人看这个动画片时候年龄都不大），只能说太感动，看过以后就刻心里了。后来看过二周目三周目之后我也意识到cl剧情冷静来看确实有不少硬伤，很多剧情现在看来真的是老套的一批，情节许多不现实之处，每个角色都善良的离谱。但...,24,CLANNAD ～AFTER STORY～,4,9,11074,在某个小镇，主角冈崎朋也因为家庭的因素成为不良少年，一直与春原阳平为伍，在光坂高校过着潦倒的生活，但冀望终有一天能够离开所在的小镇。某一天，他在学校坡道前发现了一个止步不前的女孩，在朋也认识了这个名为“古河渚”的女孩后，他的生活开始有了重大的变化。
26话/1995年10月4日/庵野秀明/GAINAX/貞本義行,新世纪福音战士,虽说是真正意义上的“神”作但后面意识流实在是太含糊不清或者说是看懂的门槛过于高。EVA的剧情乐趣就在于有深度和内涵不愿意深度思考的人绝对看不懂EVA想要表达的东西在今后娱乐至上的日本动画或全球动画业中EVA的地位仍会是前几名但很可能会越来越小...,26,新世紀エヴァンゲリオン,5,8.9,12316,2000年，一个科学探险队在南极洲针对被称作“第一使徒”亚当的“光之巨人”进行探险。在对其进行接触实验时，“光之巨人”自毁，从而发生了“第二次冲击”，进而导致世界大战。最后，人类人口减半，地轴偏转、气候改变。根据对“第二次冲击”的调查，联合国在日本箱根成立人工进化研究所（即GEHIRN）从事EVA（指机器人）的发展研究，后GEHIRN利用在人工进化研究所下方发现的巨大空洞建造了总部。
1话/1995年11月18日/押井守/士郎正宗/沖浦啓之,攻壳机动队,齐泽克晚期在总结他最终政治程序的时候认为，现在人类在三个领域面临末日危机级的挑战，需要新共产主义的介入：生态公域，基因公域，和数字公域。最后一个“数字公域”指的是脑机接口和VR媒介－－它们正在或者将要改变人类感知世界的方式，甚至人类的主体性。Eva里有一个概…,1,GHOST IN THE SHELL / 攻殻機動隊,6,8.9,4004,2029年，公安九课在市容很像香港的日本城市“新港市”中执行各种秘密任务。九课因为不顾正当程序的自作主张，强硬行事，往往与政府其他部门起冲突，例如负责外交的公安六课就与九课不合。另一方面，九课之中的重要人物，全身是义体的机械生化人草薙素子，对于自己的现状一直隐隐感到不满。有一天，公安九课因为一件外国政要的刺杀未遂案而开始追查神秘的黑客“傀儡师”。傀儡师能透过网络入侵人脑，植入虚拟记忆，再利用记忆被窜改的对象来达成目的。虽然九课的追查没有成功，藏有傀儡师的“灵魂”的机械生化人却自行来到九课。公安六课随后赶来将傀儡师绑走。草薙素子因为在事前就推测出六课的绑架行动而成功拦截傀儡师。这时发现原来傀儡师并不是人类，而是公安六课设计来非法操纵人类的电脑程式“2501计划”。2501计划在意外中产生自觉意识，决定逃出六课以求生存，并且要求和草薙素子的灵魂“融合”以求进一步发展。草薙素子最后在同事巴特的协助与掩护下完成融合并且脱离政府掌握，下落不明，其意识与整个网络融合。
2话/1997年7月19日,新世纪福音战士剧场版 Air/真心为你,以下仅是我对于EOE，这部惊艳到我的动画的一点小小的，当下的感想，仅做个人记录所用。(bgm118)这是一部疯狂的动画，观看过程中我的大脑再三宕机，被真嗣声嘶力竭的呐喊感染得几近歇斯底里。充满隐喻而大气的演出，令人震撼的作画，包括温柔而绝望的配乐，把观众真正带入到...,2,新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,7,8.9,6147,神秘的EVA零号机驾驶员绫波丽，在与碇元度约定之时，来到了NERV底层中央教条的红色水池边。她的命运似乎就将在此结束。
4话/1999年2月20日/古橋一浩/和月伸宏/柳沢まさひで,浪客剑心 追忆篇,注：仅是低水平观众的流水账，勿喷，就当看个笑话。《追忆篇》不仅描述的是剑心与巴的爱情，更描述的是整个幕末时代，以及这时代之下的每个人。凄美得令人眼睛濡湿，宏大得令人震撼，浑身起鸡皮疙瘩。与其说是漫改，倒不如说只是把故事大纲和人设拿过来，然后塞进自己的东西，...,4,るろうに剣心 -明治剣客浪漫譚- 追憶編,8,8.8,3211,幕府时代末期，外忧内患，山河动荡，百姓生活困苦，且生命时刻受到威胁。少年心太因其善良纯洁之心感动飞天御剑流高手比古清十郎，被其收入门下学习剑法，更名剑心。
64话/2009年4月5日/入江泰浩/荒川弘（掲載月刊『少年ガンガン』スクウェア・エニックス刊）/菅野宏紀,钢之炼金术师 FULLMETAL ALCHEMIST,很多人觉得钢炼FA太平淡，缺乏高潮的确，但钢炼很稳，稳中带皮，各方面都是业内顶尖看了差不多九遍了，我也来谈谈自己的看法钢炼64集篇幅很长【季番来说算很长了】所以大部分人看个一遍觉得确实不错连我都是这样的，看了几遍之后觉得该挑挑刺了结果一看就看进去了，每...,64,鋼の錬金術師 FULLMETAL ALCHEMIST,9,8.8,9594,因思念已故母亲，触犯炼金术中被视为最大禁忌“人体炼成”，而失去一切的兄弟──装上机械铠、有“钢之炼金术师”之称号的哥哥爱德华·爱力克，以及灵魂被固定于铠甲的弟弟阿尔冯斯──两人为取回失去的东西，踏上寻找贤者之石的旅程，并随着接近贤者之石的真相、在巨大的阴谋中勇往直前。暗地活跃的非人类、徐徐露出本质的军事国家亚美斯多利斯、受虐民众的无比憎恨与复仇怨念、炼金术带来的种种悲剧……散于各点的悲剧，终将连成线，人民、甚至国家都会被卷入其中。
24话/2014年10月9日/水島努/武蔵野アニメーション/関口可奈味,白箱,我是从《白箱》开始着重关注动画的监督、演出和脚本的。我是从《白箱》开始从分镜和关键帧的角度观察画面的连贯性。我是从《白箱》开始理解到制作公司的宗旨和监督的品格会很大程度上影响作品的成品质量。我是从《白箱》开始领悟到还有很多场内外因素会...,24,SHIROBAKO,11,8.8,8720,本作的故事主要围绕追逐梦想的五名女生——宫森葵、安原绘麻、坂木静香、藤堂美沙、今井绿展开，是一部描写以白箱的完成为目标而奋斗的她们，每天遇到的麻烦以及策划工作时碰到的纠葛与挫折，还有制作组在制作作品时的团结和冲突的动画业界的日常的群像剧作品。
