,jiandu
0,渡边信一郎
1,神山健治
2,神山健治
3,石原立也
4,庵野秀明
5,押井守
6,鹤卷和哉
7,入江泰浩
8,古桥一浩
9,新房昭之
10,西泽信孝
11,藤田阳一
12,水岛努
13, 
14,石黑升
15,高松信司
16,长滨博史
17,肥冢正史
18,押井守
19,今敏
20,鹤卷和哉
21,武本康弘
22,今石洋之
23,押井守
24,贾斯汀
25,宫崎骏
26,佐藤卓哉
27,今敏
28,佐藤顺一
29,长滨博史
30,渡边信一郎
31,贾斯汀
32,万嘉综
33,长滨博史
34,笠井贤一
35,长井龙雪
36,宇田钢之介
37,富野由悠季
38,宫崎骏
39,满仲劝
40,贾斯汀
41,押井守
42,高山文彦
43,汤浅政明
44,新房昭之
45,佐藤顺一
46,今敏
47,庵野秀明
48,荒木哲郎
49,山田尚子
50,水岛努
51,汤浅政明
52,石原立也
53,
54,几原邦彦
55,宫崎骏
56,神山健治
57,平尾隆之
58,富野由悠季
59,畠山守
60,津田尚克
61,石原立也
62,小岛正幸
63,古桥一浩
64,满仲劝
65,水岛精二
66,宫崎骏
67,前田庸生
68,佐藤顺一
69,谷口悟朗
70,藤田阳一
71,角铜博之
72,谷口悟朗
73,浅香守生
74,鹤卷和哉
75,秋田谷典昭
76,小林常夫
77,宫本幸裕
78,渡边信一郎
79,摩砂雪
80,佐藤顺一
81,西泽晋
82,长滨博史
83,富野由悠季
84,新房昭之
85,中村健治
86,所智一
87,大森贵弘
88,庵野秀明
89,安德鲁
90,大森贵弘
91,夏目真悟
92,长滨博史
93,野村和也
94,善聪一郎
95,佐藤顺一
96,津田尚克
97,鹤卷和哉
98,石塚敦子
99,新房昭之
100,长峰达也
101,今敏
102,石滨真史
103,小岛正幸
104,武本康弘
105,水岛努
106,水岛努
107,李圳宜
108,宫崎骏
109,矶光雄
110,汤浅政明
111,古桥一浩
112,石原立也
113,鹤卷和哉
114,石原立也
115,几原邦彦
116,嵯峨敏
117,武本康弘
118,佐藤顺一
119,京极义昭
120,立川让
121,石原立也
122,山本宽
123,山川吉树
124,青木英
125,谷口悟朗
126,薮田修平
127,满仲劝
128,森本晃司
129,畠山守
130,冈崎稔
131,今石洋之
132,秋田谷典昭
133,押井守
134, 
135,山本裕介
136,津田尚克
137,亚历山大
138,渡边步
139,板村智幸
140,汤浅政明
141,冲浦启之
142,长井龙雪
143,特伟
144,京田知己
