,jiandu1,jiandu2,jiandu3,jiandu4
0, 渡辺信一郎 , 矢立肇 , 川元利浩 ,
1, 神山健治 , 士郎正宗 ,,
2, 神山健治 , 士郎正宗 , 下村一 ,
3, 石原立也 , Key,Visual Art's , 池田和美 
4, 庵野秀明 , GAINAX , 貞本義行 ,
5, 押井守 , 士郎正宗 , 沖浦啓之 ,
6,,,,
7, 古橋一浩 , 和月伸宏 , 柳沢まさひで ,
8, 入江泰浩 , 荒川弘（掲載 月刊『少年ガンガン』スクウェア・エニックス刊） , 菅野宏紀 ,
9, 新房昭之 , 羽海野チカ（白泉社 ヤングアニマル連載） , 杉山延寛 ,
10, 水島努 , 武蔵野アニメーション , 関口可奈味 ,
11,,,,
12, William Hanna (1940–58) Joseph Barbera (1940–58 , 2005) Gene Deitch (1961–62) Chuck Jones (1963–67) Maurice Noble (1964–67) Abe Levitow (1965–67) Tom Ray (1966–67) Ben Washam (1966–67) ,,
13, 井上雄彦 ,,,
14, 田中芳樹 , 本木久年(1期)、久米一成(2期)、清水恵蔵(3期～) ,,
15, 高松信司 , 空知英秋 , 竹内進二 ,
16, 長濵博史 , 漆原友紀 , 馬越嘉彦 ,
17, 諫山創（別冊少年マガジン連載／講談社） ,,,
18, 押井守 ,,,
19, 今敏 , 竹内義和 ,,
20,,,,
21, 武本康弘 , 谷川流 , 池田晶子 ,
22, 今石洋之 , GAINAX , 錦織敦史 ,
23, Justin Roiland、Dan Harmon ,,,
24, 押井守 ,,,
25, 宮崎駿 ,,,
26, 今敏 , 本田雄、今敏 ,,
27, 佐藤卓哉、浜崎博嗣、小林智樹(第25話) , 5pb.,Nitro+ , 坂井久太 
28, 佐藤順一 , 天野こずえ , 古賀誠 ,
29, 長濵博史 , 漆原友紀 , 馬越嘉彦 ,
30, Justin Roiland、Dan Harmon ,,,
31, 渡辺信一郎 , Manglobe , 中澤一登 ,
32, 万籁鸣、唐澄 , 西游记 ,,
33, 長濵博史 , 漆原友紀 , 馬越嘉彦 ,
34, 尾田栄一郎（集英社「週刊少年ジャンプ」連載） , 小泉昇（1-425）→久田和也（385-891）→松田翠（780-782、892-） ,,
35, 長井龍雪 , 羽海野チカ , 島村秀一 ,
36, カサヰケンイチ , 羽海野チカ , 島村秀一 ,
37, 押井守 ,,,
38, 富野由悠季 , 矢立肇 , 安彦良和 ,
39, Justin Roiland、Dan Harmon ,,,
40, 満仲勧 , 古舘春一（集英社「週刊少年ジャンプ」連載） ,,
41, 宮崎駿 ,,,
42, 湯浅政明 , 森見登美彦 , 伊東伸高 ,
43, 佐藤順一 , 天野こずえ , 音地正行 ,
44, 高山文彦 , 矢立肇、富野由悠季 , 美樹本晴彦 ,
45, 新房昭之 , Magica Quartet , 岸田隆宏 ,
46, 今敏 , 筒井康隆 ,,
47, 庵野秀明 ,,,
48, 平尾隆之 , 奈須きのこ , 須藤友徳、高橋タクロヲ ,
49,,,,
50, 畠山守（小俣真一） , 雲田はるこ（講談社「ITAN」連載） , 細居美恵子 ,
51, 富野由悠季 , 富野由悠季 , 北爪宏幸 ,
52, 石原立也 , あらゐけいいち , 西屋太志 ,
53, 津田尚克 , 荒木飛呂彦（集英社ジャンプ コミックス刊） , 小美野雅彦、町田真一（副人物设定、替身设计）、光田史亮（替身设计） ,
54, 古舘春一（集英社「週刊少年ジャンプ」連載） ,,,
55, 古橋一浩 , 冨樫義博 ,,
56,,,,
57, 水島精二 , 荒川弘 , 伊藤嘉之 ,
