,shijian
0, 1998年10月23日 
1, 2004年1月1日 
2, 2002年10月1日 
3, 2008年10月2日 
4, 1995年10月4日 
5, 1995年11月18日 
6, 1997年7月19日 
7, 1999年2月20日 
8, 2009年4月5日 
9, 2017年10月14日 
10, 2014年10月9日 
11, 2011年4月4日 
12, 1940年2月10日 
13, 1993年10月16日 
14, 1988年1月8日 
15, 2006年4月4日 
16, 2005年10月22日 
17, 2019年4月28日 
18, 2004年3月6日 
19, 1998年2月28日 
20, 2009年6月27日 
21, 2010年2月6日 
22, 2007年4月1日 
23, 2017-04-01 
24, 1993年8月7日 
25, 2001年7月20日 
26, 2001年7月28日 (Fantasia International Film Festival)、2002年9月14日 (日本) 
27, 2011年4月6日 
28, 2008年1月7日 
29, 2014年10月18日 
30, 2015-07-26 
31, 2004年5月19日 
32, 1961年 
33, 2014年4月4日 
34, 宇田鋼之介（1-278）、志水淳児（131-159）→境宗久（244-372）→宮元宏彰（352-679）→深澤敏則（663-891）、伊藤聡伺（780-782）→長峯達也（780-782、892-）、暮田公平、小牧文（892-） 
35, 2006年6月29日 
36, 2005年4月14日 
37, 2008年7月12日 
38, 1985年3月2日 
39, 2013-12-02 
40, 2016年10月7日 
41, 1986年8月2日 
42, 2010年4月22日 
43, 2015年9月26日 
44, 1989年3月25日 
45, 2011年1月7日 
46, 2006年11月25日 
47, 1998年3月7日 
48, 2008年8月16日 
49, 2006年11月24日 
50, 2017年1月6日 
51, 1988年3月12日 
52, 2011年4月2日 
53, 2015年1月9日 
54, 2015年10月3日 
55, 1999年10月16日 
56, 2004年4月6日 
57, 2003年10月4日 
58, 1984年3月11日 
59, 1985年3月24日 
60, 2003年4月3日 
61, 2003年10月4日 
62, 2013年1月11日 
63, 2006年10月5日 
64, 2001年10月10日 
65, 2007年7月12日 
66, 2006年2月10日 
67, 1999年4月9日 
68, 2014年1月4日 
69, 1988年10月7日 
70, 2015年5月16日 
71, 2009年7月3日 
72, 2014年7月6日 
73, 2008-06-27 
74, 2011年7月4日 
75, 2007年7月26日 
76, 善聡一郎（#1-#489）、八鍬新之介（#490-#515） 
77, 2007年9月21日 
78, 2010年2月7日 
79, 2007年4月12日 
80, 2017年7月7日 
81, 2012年4月22日 
82, 2007年5月12日 
83, 1988年4月16日 
84, 2020年1月5日 
85, 2014年11月7日 
86, 2010年4月1日 
87, 2016年10月5日 
88, 1999年8月14日 
89, 2004年11月26日 
90, 2015年4月7日 
91, 2002年1月17日 
92, 2003年8月26日 
93, 2005年10月5日 
94, 2019年10月25日 
95, 1986年2月26日 
96, 1995年12月23日 
97, 2014年4月6日 
98, 2014年4月4日 
99, 2014年8月1日 
100, 2011年10月1日 
101, 1988-03-21 
102, 1999年7月3日 
103, 1984年2月11日 
104, 2009年4月25日 
105, 2017年4月7日 
106, 2012年4月1日 
107, 2006年7月9日 
108, 2017年8月12日 
109, 1999年11月17日 
110, 2008年10月1日 
111, 2008年10月6日 
112, 2005年10月23日  
113, 2008年4月10日 
114, 2019年4月19日 
115, 2011年7月7日 
116, 2019年11月10日 
117, 2009年8月8日 
118, 2006年1月27日 
119, 2011年3月26日 
120, 2009年1月5日 
121, 2018年7月22日 
122, 2015年10月4日 
123, 2008年7月7日 
124, 1984年7月21日 
125, 2015年4月24日 
126, 2004年6月26日 
127, 2001年4月21日 
128, 2012年7月21日 
129, 2012年1月2日 
130, 1994年6月15日
131, 2006年4月4日 
132, 1990年11月22日 
133, 2010年10月10日 
134, 2014年1月9日 
135, 2002年2月3日 
136, 1982年7月10日 
137, 2017年1月6日 
138, 2018年12月14日 
139, 2016年8月26日 
140, 2006年1月27日 
141, 1998年4月7日 
142, 2014年1月5日 
143, 2013年7月6日 
144, 1992年7月18日 
145, 2004年10月5日 
146, 2009年8月1日 
147, 2008年2月9日 
148, 2010年1月7日 
149, 2011年12月3日 
150, 2017年10月6日 
151, 2014年10月9日 
152, 2011年9月17日 
153, 2006年7月15日 
154, 2006年4月5日 
155, 1989年8月5日 
156, 1996年10月1日 
157, 2007年1月11日 
158, 2007年4月7日 
159, 2010年10月2日 
160, 2007年12月1日 
161, 2007年4月5日 
162, 2003年6月11日 
163, 2018年8月25日 
164, 2007年10月2日 
165, 2015年7月6日 
166, 2018年1月5日 
167, 2007年9月21日 
168, 2013年7月11日 
169, 2000年1月21日 
170, 2012年1月9日 
171, 2010年10月9日 
172, 2002年8月16日 
173, 2012年10月13日 
174, 2011年3月17日 
175, 2008年10月3日 
176, 2013年10月7日 
177, 2017年9月30日 
178, 2007年9月29日 
179, 1990年4月13日 
180, 2008年4月3日 
181, 2013年11月27日 
182, 1982年10月3日 
183, 2015年1月8日 
184, 1992年2月18日 
185, 2011年04月27日 
186, 2010年1月14日 
187, 2012年1月7日 
188, 1998年8月8日 
189, 2013年4月6日 
190, 2013年11月23日 
191, 2006年4月2日 
192, 2011年1月10日 
193, 2009年4月9日 
194, 2020年4月11日 
195, 2011年3月1日 
196, 2008年9月6日 
197, 2010年6月16日 
198, 2008年3月17日 
