Tip,chinese_name,episode,movie_name,ranking,score,score_num
201话/2006年4月4日/高松信司/空知英秋/竹内進二,银魂,201,銀魂,16,8.7,7329
110话/1988年1月8日/田中芳樹/本木久年(1期)、久米一成(2期)、清水恵蔵(3期～),银河英雄传说,110,銀河英雄伝説,15,8.8,1150
164话/1940年2月10日/WilliamHanna(1940–58)JosephBarbera(1940–58/2005)GeneDeitch(1961–62)ChuckJones(1963–67)MauriceNoble(1964–67)AbeLevitow(1965–67)TomRay(1966–67)BenWasham(1966–67),猫和老鼠,164,Tom and Jerry,14,8.8,3508
24话/2014年10月9日/水島努/武蔵野アニメーション/関口可奈味,白箱,24,SHIROBAKO,13,8.8,8750
51话/2011年4月4日,银魂',51,銀魂',12,8.8,7838
101话/1993年10月16日/井上雄彦,灌篮高手,101,スラムダンク,11,8.8,5644
22话/2017年10月14日/新房昭之/羽海野チカ（白泉社ヤングアニマル連載）/杉山延寛,3月的狮子 第二季,22,3月のライオン 第2シリーズ,10,8.8,3061
4话/1999年2月20日/古橋一浩/和月伸宏/柳沢まさひで,浪客剑心 追忆篇,4,るろうに剣心 -明治剣客浪漫譚- 追憶編,9,8.8,3224
2话/1997年7月19日,新世纪福音战士剧场版 Air/真心为你,2,新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,7,8.9,6166
64话/2009年4月5日/入江泰浩/荒川弘（掲載月刊『少年ガンガン』スクウェア・エニックス刊）/菅野宏紀,钢之炼金术师 FULLMETAL ALCHEMIST,64,鋼の錬金術師 FULLMETAL ALCHEMIST,8,8.8,9634
1话/1995年11月18日/押井守/士郎正宗/沖浦啓之,攻壳机动队,1,GHOST IN THE SHELL / 攻殻機動隊,6,8.9,4014
26话/1995年10月4日/庵野秀明/GAINAX/貞本義行,新世纪福音战士,26,新世紀エヴァンゲリオン,5,8.9,12346
24话/2008年10月2日/石原立也/Key/VisualArt's/池田和美,24(22+1+1),2008年10月2日,CLANNAD ～AFTER STORY～,4,9.0,11112
26话/2002年10月1日/神山健治/士郎正宗/下村一,攻壳机动队 STAND ALONE COMPLEX,26,攻殻機動隊 STAND ALONE COMPLEX,3,9.1,4830
26话/2004年1月1日/神山健治/士郎正宗,攻壳机动队 S.A.C. 2nd GIG,26,攻殻機動隊 S.A.C. 2nd GIG,2,9.1,3901
26话/1998年10月23日/渡辺信一郎/矢立肇/川元利浩,星际牛仔,26,カウボーイビバップ,1,9.1,6911
1话/1993年8月7日/押井守,机动警察 和平保卫战,1,機動警察パトレイバー 2 the Movie,24,8.7,949
27话/2007年4月1日/今石洋之/GAINAX/錦織敦史,天元突破 红莲螺岩,27,天元突破グレンラガン,23,8.6,5800
1话/2009年6月27日,福音战士新剧场版：破,1,ヱヴァンゲリヲン新劇場版:破,21,8.6,6658
1话/2010年2月6日/武本康弘/谷川流/池田晶子,凉宫春日的消失,1,涼宮ハルヒの消失,22,8.6,9498
1话/1998年2月28日/今敏/竹内義和,蓝色恐惧,1,PERFECT BLUE,20,8.7,3313
1话/2004年3月6日/押井守,攻壳机动队2 无罪,1,イノセンス,19,8.7,3073
