Tip,chinese_name,episode,movie_name,ranking,score,score_num,summary
"
26话 / 1998年10月23日 / 渡辺信一郎 / 矢立肇 / 川元利浩 ",星际牛仔,26,カウボーイビバップ,1,9.1,(6889人评分),"2021年，随着超光速航行技术的实现，人类得以在太阳系范围内方便的自由移动，但是由于设计上的失误，这种技术引发了月球的爆炸，无数的月球碎片被吸引向地球，造成了空前绝后的大灾难。存活下来的人类逃离地球，并开始在太阳系各地建立家园。由于这次灾难，国家、政府等权利机构都极为不稳定、治安问题也成为了一个难题。为了在人力资源不足的情况下抓捕罪犯，有些组织开始允许个人抓捕通缉的罪犯并换取奖金，“赏金猎人”这个职业也就由此诞生了。,
,
史派克（Spike）和杰特（Jet）是驾驶飞船Bebop号在宇宙中以捉拿逃犯获取奖金为生的赏金猎人。两人在星际间的旅程中，结识了身负巨债、嗜财如命的美女菲（Faye）和电脑神童艾德（Ed），并收养了拥有高智商的数据狗爱因（Ein）。从此，四人一狗游荡在广阔之宇宙之中，在自己与他人的生活中经历著种种悲欢离合，也寻找著各自的过去。"
"
26话 / 2004年1月1日 / 神山健治 / 士郎正宗 ",攻壳机动队 S.A.C. 2nd GIG,26,攻殻機動隊 S.A.C. 2nd GIG,2,9.1,(3889人评分),"这个世界距离我们并不遥远，你把它看作是现代社会的镜子亦为不可。,
也许：无论人类怎样发展，人性是不会改变的，即使容纳这渺小人性的外壳换作了机器身体亦是一样。,
无论怎样，在一个充斥着改装身体的社会里，人类的欲望得以被延续且发扬光大，由此相关的犯罪也应运而生。,
由荒卷所领导的特务组织：公安9课，其实就可以算是日本社会的清洁剂。"
"
26话 / 2002年10月1日 / 神山健治 / 士郎正宗 / 下村一 ",攻壳机动队 STAND ALONE COMPLEX,26,攻殻機動隊 STAND ALONE COMPLEX,3,9.1,(4807人评分),公元2030的世界，改造人、生化人、机器人等等的存在已经非常普及。主人公草薙素子正是人类最高科技的结晶：只有大脑是人脑，其余身体部分皆为机械装置，外表看起来则是一名美貌兼干练的年轻女性。在这个高科技的世界里，人类通过更换身体的各个部件而达到长寿已不是新鲜事，更有许多人的大脑也已经电脑化，从而真正实现所谓的“电子化的存在”(并非“信息化的存在”)。从庞大的社会结构直至单独的个人身体，都可方便的通过网络连接，构成了一个无比复杂的信息网络：这就是本作的世界基础。 虽然人类社会的电脑化带来很多方便，但是无论构造成为身体的材料怎样变化，人类毕竟还是拥有人性，因此各种以电脑为契机的犯罪层出不穷。日本的公安九课是一个高出统治阶层的存在，它的职能就是猎捕一切有关于高级电脑类刑事犯罪者。公安九课所面对的罪犯：有时可能是政府中的高官，有时可能是偷换他人大脑的投机分子，更有可能是身边的同伴；每一次的案件，都是对人类存在的再思考，都可能给队内的每一个队员带来沉重的精神压力。
"
24话 / 2008年10月2日 / 石原立也 / Key/Visual Art's / 池田和美 ",24(22+1+1),2008年10月2日,CLANNAD ～AFTER STORY～,4,9,(11074人评分),"在某个小镇，主角冈崎朋也因为家庭的因素成为不良少年，一直与春原阳平为伍，在光坂高校过着潦倒的生活，但冀望终有一天能够离开所在的小镇。某一天，他在学校坡道前发现了一个止步不前的女孩，在朋也认识了这个名为“古河渚”的女孩后，他的生活开始有了重大的变化。,
,
前半为主角和女主角们之间所发生的事件，后半After story为主角和古河渚，在冈崎中学毕业之后，共同生活的日子，其中还穿插了“幻想世界”，CLANNAD就是由这三个要素所组成的故事。"
"
26话 / 1995年10月4日 / 庵野秀明 / GAINAX / 貞本義行 ",新世纪福音战士,26,新世紀エヴァンゲリオン,5,8.9,(12317人评分),"　　2000年，一个科学探险队在南极洲针对被称作“第一使徒”亚当的“光之巨人”进行探险。在对其进行接触实验时，“光之巨人”自毁，从而发生了“第二次冲击”，进而导致世界大战。最后，人类人口减半，地轴偏转、气候改变。根据对“第二次冲击”的调查，联合国在日本箱根成立人工进化研究所（即 GEHIRN）从事EVA（指机器人）的发展研究，后GEHIRN利用在人工进化研究所下方发现的巨大空洞建造了总部。,
　　另一方面，联合国下属秘密组织SEELE为了使人类进化，开始实行人类补完计划，就是将所有人的灵魂汇集在一起，通过中和每个人的AT力场，使每个人回归LCL之海。,
　　2004年，EVA初号机进行启动试验时发生事故，碇真嗣的母亲碇唯消失，碇源渡开始执行“碇源渡版本的人类补完计划”。2010年，GEHIRN被改建成NERV。,
　　2015年开始，根据SEELE人类补完计划剧本的安排，一种巨型人形生物“使徒”开始在日本登陆，并向NERV总部进攻，NERV组织EVA消灭使徒。在NERV与使徒作战的同时，碇源渡秘密地执行它自己的计划。随着时间推移，碇源渡的计划逐渐被SEELE发现，NERV与SEELE产生了矛盾并不断恶化。,
Director's Cut版本的第21～24集由剧场版《Death》篇剪辑而成，收录在20周年纪念版的蓝光中。"
"
1话 / 1995年11月18日 / 押井守 / 士郎正宗 / 沖浦啓之 ",攻壳机动队,1,GHOST IN THE SHELL / 攻殻機動隊,6,8.9,(4002人评分),2029年，公安九课在市容很像香港的日本城市“新港市”中执行各种秘密任务。九课因为不顾正当程序的自作主张，强硬行事，往往与政府其他部门起冲突，例如负责外交的公安六课就与九课不合。另一方面，九课之中的重要人物，全身是义体的机械生化人草薙素子，对于自己的现状一直隐隐感到不满。有一天，公安九课因为一件外国政要的刺杀未遂案而开始追查神秘的黑客“傀儡师”。傀儡师能透过网络入侵人脑，植入虚拟记忆，再利用记忆被窜改的对象来达成目的。虽然九课的追查没有成功，藏有傀儡师的“灵魂”的机械生化人却自行来到九课。公安六课随后赶来将傀儡师绑走。草薙素子因为在事前就推测出六课的绑架行动而成功拦截傀儡师。这时发现原来傀儡师并不是人类，而是公安六课设计来非法操纵人类的电脑程式“2501计划”。2501计划在意外中产生自觉意识，决定逃出六课以求生存，并且要求和草薙素子的灵魂“融合”以求进一步发展。草薙素子最后在同事巴特的协助与掩护下完成融合并且脱离政府掌握，下落不明，其意识与整个网络融合。
"
2话 / 1997年7月19日 ",新世纪福音战士剧场版 Air/真心为你,2,新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,7,8.9,(6146人评分),"　　神秘的EVA零号机驾驶员绫波丽，在与碇元度约定之时，来到了NERV底层中央教条的红色水池边。她的命运似乎就将在此结束。,
　　在危急时刻，葛城美里不但要完成加持良治交待的对“第二次浩劫”真相以及“人类补完计划”的探查工作，还要保护碇真嗣与明日香，以及防备SEELE 对初号机与二号机的物理接触。,
　　出于对碇元度的憎恨，赤木律子接受了SEELE引爆MAGI的提案，她能否成功？长期与SEELE共事的碇元度、冬月耕造、碇唯，为了防止人类“最终的悲剧”，而酝酿了的“人类补完计划”能否实现？尽在《新世纪福音战士》电影版第2部中解答。"
"
4话 / 1999年2月20日 / 古橋一浩 / 和月伸宏 / 柳沢まさひで ",浪客剑心 追忆篇,4,るろうに剣心 -明治剣客浪漫譚- 追憶編,8,8.8,(3210人评分),"幕府时代末期，外忧内患，山河动荡，百姓生活困苦，且生命时刻受到威胁。少年心太因其善良纯洁之心感动飞天御剑流高手比古清十郎，被其收入门下学习剑法，更名剑心。,
在国家危难之际，年轻的剑心怀揣改变时代的梦想下山，加入奇兵队，日后更被桂小五郎纳入麾下，以刽子手的身份为时代的变革尽一份绵薄之力。年仅15岁的剑心接连刺杀多名政府要员，令对手闻风丧胆，直到某一天，一名下级武士在他的脸上留下一道无法愈合的伤疤。,
来至京都寻找爱人的雪代巴邂逅了剑心，正是眼前这名瘦弱的男子将爱人从她的生命中带走。巴走入剑心的生活，随之经历了政治斗争的血雨腥风和田园乡下的宁静淡雅。也许她正是剑心那把狂舞之刀的刀鞘，但在大时代的背景之下，两个人的渺小幸福一触即碎……"
"
64话 / 2009年4月5日 / 入江泰浩 / 荒川弘（掲載 月刊『少年ガンガン』スクウェア・エニックス刊） / 菅野宏紀 ",钢之炼金术师 FULLMETAL ALCHEMIST,64,鋼の錬金術師 FULLMETAL ALCHEMIST,9,8.8,(9592人评分),"因思念已故母亲，触犯炼金术中被视为最大禁忌“人体炼成”，而失去一切的兄弟──装上机械铠、有“钢之炼金术师”之称号的哥哥爱德华·爱力克，以及灵魂被固定于铠甲的弟弟阿尔冯斯──两人为取回失去的东西，踏上寻找贤者之石的旅程，并随着接近贤者之石的真相、在巨大的阴谋中勇往直前。暗地活跃的非人类、徐徐露出本质的军事国家亚美斯多利斯、受虐民众的无比憎恨与复仇怨念、炼金术带来的种种悲剧……散于各点的悲剧，终将连成线，人民、甚至国家都会被卷入其中。,
,
爱力克兄弟处于绝望和希望的狭缝之中，即使如此仍继续前进……,
,
------------------,
,
曾于2003 年一度改编为动画的《钢之炼金术师》，在日本第20卷出版之际，也向外公布动画版的新作将在2009年上半年发表，并表明新系列采原作漫画剧情。其后有关方面在2009年2 月10日，宣布新作《钢之炼金术师 FULLMETAL ALCHEMIST》于4 月5日下午5时开始播放。,
,
本作剧情着重于爱力克兄弟的亲情，在军事国家展开的各种谋略、众多配角的行为与心情，做细腻的描述。并针对受世界经济衰退及动画违法下载泛滥影响的海外市场，ANIPLEX与各国代理商合作，尾随日本播出后一周内，于各国电视台、网络电视播出。,
,
在2009 年纽约动画节（New York Anime Festival）座谈情报指出，预定播放5季（クール）、全63话，后由监督入江泰浩证实。然而《月刊少年GANGAN》2010年6月号正式公布最终回于7月4日播出，即改为全64话。"
"
22话 / 2017年10月14日 / 新房昭之 / 羽海野チカ（白泉社 ヤングアニマル連載） / 杉山延寛 ",3月的狮子 第二季,22,3月のライオン 第2シリーズ,10,8.8,(3043人评分),
